City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,Yerofey Pavlovich,53.9667,121.9667,-22.9,95,5,3.33,RU,2022-01-17 13:44:43
218,Padang,-0.9492,100.3543,78.93,86,100,1.83,ID,2022-01-17 13:44:44
219,Arlit,18.7369,7.3853,72.39,9,0,7.52,NE,2022-01-17 13:44:44
220,Saint Anthony,45.0205,-93.218,20.35,75,100,3.44,US,2022-01-17 13:44:45
221,Lipari,38.4674,14.954,59.54,66,93,11.77,IT,2022-01-17 13:44:46
222,Sfantu Gheorghe,45.8667,25.7833,36.57,57,100,18.97,RO,2022-01-17 13:43:48
223,Yenagoa,4.9247,6.2642,88.3,51,100,8.68,NG,2022-01-17 13:44:47
224,Coquimbo,-29.9533,-71.3436,65.93,72,0,3.44,CL,2022-01-17 13:44:48
225,Saurimo,-9.6608,20.3916,79.02,63,96,1.59,AO,2022-01-17 13:44:49
226,The Valley,18.217,-63.0578,82.09,73,40,13.8,AI,2022-01-17 13:44:49
227,Ugoofaaru,5.6667,73.0,82.29,73,56,14.32,MV,2022-01-17 13:44:50
228,Huimilpan,20.372,-100.2774,48.51,71,35,2.15,MX,2022-01-17 13:44:51
229,Mazatlan,23.2167,-106.4167,67.91,94,40,3.44,MX,2022-01-17 13:42:45
230,Wewak,-3.5534,143.6268,80.4,84,100,14.43,PG,2022-01-17 13:44:52
231,Shilovo,54.3204,40.874,27.37,95,100,18.48,RU,2022-01-17 13:44:52
232,Russell,32.3502,-85.1999,35.31,84,75,5.75,US,2022-01-17 13:44:53
233,Ihosy,-22.4,46.1167,79.7,61,100,4.94,MG,2022-01-17 13:44:54
234,Bambous Virieux,-20.3428,57.7575,88.05,70,40,5.75,MU,2022-01-17 13:44:54
235,Bubaque,11.2833,-15.8333,77.85,67,0,5.14,GW,2022-01-17 13:44:55
236,Axim,4.8699,-2.2405,85.91,60,40,10.56,GH,2022-01-17 13:44:56
237,High Level,58.5169,-117.136,-5.69,77,100,16.11,CA,2022-01-17 13:44:56
238,Henties Bay,-22.116,14.2845,72.86,71,69,10.69,NA,2022-01-17 13:44:57
239,Uarini,-2.99,-65.1083,78.75,66,92,0.72,BR,2022-01-17 13:44:58
240,Porto Walter,-8.2686,-72.7439,85.87,52,18,4.03,BR,2022-01-17 13:44:58
241,Zhukovka,53.534,33.728,32.27,97,100,15.66,RU,2022-01-17 13:44:59
242,Kruisfontein,-34.0033,24.7314,75.88,59,0,14.34,ZA,2022-01-17 13:45:00
243,Khandyga,62.6667,135.6,-45.06,100,78,0.2,RU,2022-01-17 13:45:00
244,Lavrentiya,65.5833,-171.0,-18.58,95,11,6.4,RU,2022-01-17 13:45:01
245,Pauri,30.15,78.7833,46.2,64,100,0.76,IN,2022-01-17 13:45:02
246,Ulaanbaatar,47.9077,106.8832,-3.87,71,40,2.24,MN,2022-01-17 13:45:02
247,Saldanha,-33.0117,17.9442,80.65,81,40,15.46,ZA,2022-01-17 13:45:03
248,Nanortalik,60.1432,-45.2371,28.81,93,100,9.66,GL,2022-01-17 13:45:04
249,Ilulissat,69.2167,-51.1,-17.19,94,30,6.29,GL,2022-01-17 13:45:05
250,Wangqing,43.3218,129.7634,-5.24,97,40,3.11,CN,2022-01-17 13:45:05
251,Kamaishi,39.2667,141.8833,28.74,61,5,8.41,JP,2022-01-17 13:45:06
252,Aloleng,16.1307,119.7824,76.26,74,89,9.13,PH,2022-01-17 13:45:07
253,Road Town,18.4167,-64.6167,82.44,78,20,10.36,VG,2022-01-17 13:45:08
254,College,64.8569,-147.8028,-3.53,84,75,0.0,US,2022-01-17 13:45:09
